	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19059	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA
ASV_19060	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
ASV_19061	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19062	Bacteria	Acidobacteriota	Acidobacteriae	NA	NA	NA	NA
ASV_19063	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19064	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV_19065	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_19066	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
ASV_19068	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Edaphobacter	NA
ASV_19069	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19070	Bacteria	Chloroflexi	OLB14	NA	NA	NA	NA
ASV_19071	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA
ASV_19072	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_19073	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA
ASV_19074	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
ASV_19075	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19076	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_19078	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19079	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA
ASV_19080	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_19081	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA
ASV_19082	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19083	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV_19084	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	NA	NA
ASV_19085	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV_19086	Bacteria	Elusimicrobiota	Elusimicrobia	MVP-88	NA	NA	NA
ASV_19087	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_19088	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	JG30a-KF-32	NA
ASV_19089	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA
ASV_19090	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_19091	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19092	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_19093	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA	NA
ASV_19094	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1959-1	NA
ASV_19096	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	NA
ASV_19097	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19098	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	NA
ASV_19099	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	NA	NA	NA
ASV_19100	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV_19102	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA	NA
ASV_19103	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19104	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_19105	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA
ASV_19106	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
ASV_19107	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_19108	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV_19109	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV_19110	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Jidaibacter	NA	NA
ASV_19111	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	NA	NA	NA
ASV_19112	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19114	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV_19115	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_19116	Bacteria	Acidobacteriota	Acidobacteriae	NA	NA	NA	NA
ASV_19117	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	NA
ASV_19118	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Paracaedibacter	NA
ASV_19119	Bacteria	Armatimonadota	NA	NA	NA	NA	NA
ASV_19120	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19121	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19123	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_19124	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA
ASV_19125	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA
ASV_19126	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	NA	NA
ASV_19127	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19129	Bacteria	WPS-2	NA	NA	NA	NA	NA
