	Beijerinckiaceae	Oxalobacteraceae	Gemmatimonadaceae	Micrococcaceae	Geodermatophilaceae	Sphingomonadaceae	Chitinophagaceae	Kineosporiaceae	Solirubrobacteraceae	Micromonosporaceae	Comamonadaceae	X67.14	Acetobacteraceae	Pyrinomonadaceae	Pseudonocardiaceae	Nitrosomonadaceae	Chthoniobacteraceae	Nocardioidaceae	Rhodobacteraceae	Bryobacteraceae	Gemmataceae	Nitrososphaeraceae	Xanthobacteraceae	Others	Unclassified
avca-elkld_38_c13	5.45936395759717	6.07854159974301	3.80179890780597	5.23450048185031	3.67651782846129	3.29987150658529	2.52409251525859	2.66061676839062	3.19145518792162	2.58111146803726	1.99405717956955	3.22036620623193	1.97879858657244	3.25248955991005	2.51044008994539	1.70012849341471	1.96996466431095	1.29778348859621	0.913909412142628	1.20864118213942	1.32589142306457	1.83183424349502	1.18294249919692	18.647606810151	18.4572759396081
avca-elkld_39_c13	7.89140854714625	7.40886937608249	5.17581665122649	2.10335521810932	7.36617392355097	3.97148266000725	3.81761791597857	4.18818222096911	3.59125146010392	2.46666935191525	2.98707052805413	1.59262093688323	3.27385507713377	1.93982357916784	1.63209409111048	1.35739316067185	1.45486768437588	1.52414709791759	0.952994723486527	1.31228098441213	1.03355218109316	1.09799814717847	0.64526523542917	16.6794215974544	14.5357876505417
avca-elkld_40_c13	8.31615120274914	3.02313860252005	4.33814432989691	2.70607101947308	5.53035509736541	5.60916380297824	3.25681557846506	3.0836197021764	2.78946162657503	1.51294387170676	1.84742268041237	1.9106529209622	3.31363115693013	2.04902634593356	1.57250859106529	1.96838487972509	2.19839633447881	1.16288659793814	0.843986254295533	1.47812142038946	1.61832760595647	1.30400916380298	0.993356242840779	19.53264604811	18.0407789232532
avca-elkld_41_c13	4.95813408930956	8.05219919359613	3.54922944360764	4.02741510066893	4.78185657061296	3.80443719455644	4.5332263390185	2.77176665592339	2.5132701452974	2.84543487269211	4.12344688324245	1.11094301894983	1.85880696953951	1.36615076989864	1.54900580794959	1.42469069215236	1.7180480553564	0.999782941861306	0.476870153190426	0.994520926377826	1.06358487959851	0.910328678642137	2.01732518597936	25.5437964126209	13.0057290193576
avca-elkld_42_c13	6.42266995216698	5.1543701985795	4.88911436440064	3.40701550949413	5.00072474271634	3.78025800840702	2.16915494999275	3.98391071169735	3.95637048847659	3.41063922307581	1.6850268154805	1.92636614002029	2.71850992897521	2.1539353529497	2.46919843455573	1.69444847079287	1.29583997680823	1.41542252500362	0.496448760689955	1.73068560660965	0.961733584577475	1.08783881721989	1.13857080736339	20.600086969126	16.4516596608204
avca-elkld_43_c13	5.31749940713986	3.23884054798519	4.3780441087944	1.29517138218501	3.06098250606541	3.91743738484832	1.88620733687225	2.39880333461026	2.67425527645524	4.10988890713074	1.55055728853135	2.34681406081833	2.71073897736186	1.65453583611522	2.92234444262026	1.83330597055765	1.65453583611522	1.16109378135318	0.455134168810084	1.78861343694704	1.13464309819588	1.28148999434503	3.23336799284919	28.6369689341287	15.3587259891643
avca-elkld_44_c13	5.74220826898245	5.43332404992784	4.02646614510807	3.12850765037007	3.73868057489598	3.87202403558076	2.99178840587049	3.31501970613802	3.25594348937894	2.27527829117823	2.44491142787216	2.39680650851119	2.19257158771552	1.90225417964234	1.99424428859576	2.13518326286385	1.43470812129191	1.63134752850427	1.29967676869973	1.19165168662599	1.1975593083019	0.954502873635972	0.8253791427197	21.5839177659063	19.0360449316826
avca-elkld_45_c13	4.08248973579465	1.87231641959445	4.48867019776225	1.21289999059767	2.14122292913781	4.26426802895916	1.92810355094493	1.70182091704015	4.24044880433761	4.18716895978939	1.25991161814022	3.14476447174601	1.58335161563293	3.58416648384367	2.69094556053531	1.78142727301219	1.50311843796032	1.56015921271194	0.287084338859811	1.20913906039427	1.76199580029461	1.75948851349234	2.84639734227599	24.4435390353214	20.4651017018209
avca-elkld_46_c13	6.75187982175298	3.45007372648695	4.30139062003568	2.2166825524843	3.90465250792254	3.86473429951691	2.46515303337651	2.86759374669045	3.14702120552989	2.81138239199681	2.43582537005808	2.35273032398921	3.28551294897801	2.60445943413903	1.93644043633046	1.87859976700801	1.81994444037116	1.15925735839219	1.06964505380812	1.54133163884612	1.15192544256259	1.30426636035552	1.41913304168601	23.0099958452477	17.2503686324348
avca-elkld_47_c13	5.32416571170608	3.56773274993923	4.4074035489808	2.99545091502587	3.29478765149147	3.8233149286384	2.06618745008161	3.12185297079557	3.53439594402195	3.12324200437546	2.15439108240442	3.07670937944925	1.94742507900128	3.33645865888808	1.85991596346842	1.54182727367434	1.4564017085113	0.941764767163246	0.768135569677397	1.57099697885196	1.15150883772615	1.2098482480814	1.46195784283085	24.2296072507553	18.0345174844602
avca-elkld_48_c13	5.85384967021485	7.58701756677333	4.51381179390061	4.00509371122576	4.48377195846666	3.88166916998629	3.23254750865278	3.78763142428002	2.90080323907791	1.85136811859205	1.73708613596291	1.80565532554039	2.54097825377131	2.05446352772154	1.95716058251159	1.70508718082675	2.33657676484033	1.24991837001241	0.624959185006204	1.30738588127735	1.54574544504669	0.873767387187357	0.811075556716515	18.4522954352511	18.9002808071573
avca-elkld_49_c12	6.07263152772747	3.5239861376182	4.76965414330589	1.95987262179595	3.44883515984451	3.68834511059088	3.15742237552781	3.27420375106103	3.06713307129611	2.50809630138245	1.61115045874536	2.49079535685901	3.31907807591871	3.07470223452512	1.89445342531669	1.66359394683204	2.88547315379999	1.47058028449241	0.66230178253794	1.90364455209477	1.46192981223069	1.44571017673996	1.10023194078752	18.4368596623072	21.1093149366623
avca-elkld_50_c12	6.57285265067001	9.30180973630302	5.12976083297452	7.56775094270691	5.626231390509	3.39113529311987	2.56455422032594	4.07223287796349	2.92597956707245	1.70013439281847	1.58205138241933	1.69882960817317	2.40406570895474	2.00480160749468	1.08753800185279	1.47766861079579	1.98457744549262	1.48419253402226	0.731331793687452	1.59836119048551	1.11885283333986	1.03599900836367	0.580629167155961	14.5020289401234	17.8566302631751
avca-elkld_51_c12	7.62155527964493	8.97875012487334	4.49615390104323	6.63184484308773	7.28118622539995	5.66782263703957	5.50513051048222	4.10512194773872	3.15037604715217	1.92519016426196	3.59349802343337	1.10816172168229	3.05404518274322	1.20591971000842	1.69756389947339	0.68073810848996	1.25087411339927	1.73324199740263	1.84170341510753	1.29939632658304	0.636497267057699	0.607241226755719	0.381755647842902	16.3905181886943	9.15571349060239
avca-elkld_52_c12	8.53093332331241	7.58646173887991	4.39354652837799	6.46850300001253	7.5958563501309	4.20377538110806	3.31128731226435	3.94824195508123	2.59729685718938	2.84907243871582	2.20898625881528	1.23820976288001	3.00001252614833	1.63340974283817	1.12547442786817	0.800420878584044	1.75929753360139	1.64092543183896	1.65094635050668	1.47056981448774	0.958250347600616	0.685180313905277	0.469104255132589	17.2647902496461	12.609447221074
avca-elkld_53_c12	6.2248428783278	7.98813643104301	3.93192571146106	3.52305628133606	3.67911870630605	5.23197514299838	3.87331403149495	2.8359579125768	2.36918296730457	2.35152884683285	2.69190028952758	1.70256337829249	3.06122448979592	1.43280841748464	1.76823670644728	1.24143775157122	2.60292352235012	1.70962502648118	1.80354494739072	1.42786526375256	0.827625167714145	1.12633288609561	0.886236847680249	20.225972742038	15.4826636536968
avca-elkld_54_c12	7.57454642346729	12.2302158273381	4.67989244967662	7.64640812602443	6.93021340503355	3.64556839376983	3.31290523137046	4.05251556330693	2.45298710526528	2.26566221770059	2.35851722662274	1.3516459559625	3.33389853773547	1.24829429385784	1.56561619391356	0.742032636517049	1.05693223199218	1.5720756727951	1.24264224983649	1.45015300890601	0.628991756090077	0.969729267091377	0.409369474117676	16.0566496297911	11.2225371218177
avca-elkld_55_c12	5.83417593528817	15.9838220424671	3.00640377485676	17.7074486012808	6.02291877317155	3.46680148297944	4.46376811594203	3.86046511627907	1.76676777890125	1.04347826086957	3.04752275025278	0.765082574991574	2.21368385574655	0.852039096730704	1.04550050556117	0.68958543983822	0.597236265588136	1.43646781260533	1.80788675429727	0.918099089989889	0.415234243343445	0.499494438827098	0.444219750589821	14.1139197842939	7.9979777553084
