	Kingdom	Phylum	Class	Order	Family	Genus	Species
3649	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium	NA
3654	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	algeriense
3655	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	NA
3659	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	NA	NA
3661	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	NA
3667	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	[Streptomyces] thermoautotrophicus	NA
3668	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	oryzae
3669	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	vinaceus
3670	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	NA
3681	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinocorallia	NA
3689	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	barringtoniae
3690	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	vinacea
3691	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	NA
3708	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Spirillospora	albida
3709	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Spirillospora	NA
3712	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	NA	NA
3733	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	NA	NA	NA
3738	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA
3796	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA
3800	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA	NA
3963	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA
4033	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA
