# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
# * (asterisk) indicates questionable data
#
# Retrieved: 2023-02-10 15:58:57 (MST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Altar Wash at Highway 286 sensor(s):
# 6380
#
# -------------------------------------------------------------------------------------
#
# Data provided for Altar Wash at Highway 286 sensors
# over the period of '01/01/2020' to '11/30/2020'
#

Sensor ID,Date and Time (MST),Value (in)
6380,2020-06-22 22:00:29,.20,
6380,2020-06-22 10:00:29,.20,
6380,2020-06-21 22:00:29,.20,
6380,2020-06-21 10:00:29,.20,
6380,2020-06-20 22:00:29,.20,
6380,2020-06-20 10:00:29,.20,
6380,2020-06-19 22:00:28,.20,
6380,2020-06-19 10:00:29,.20,
6380,2020-06-18 22:00:28,.20,
6380,2020-06-18 10:00:29,.20,
6380,2020-06-17 22:00:28,.20,
6380,2020-06-17 10:00:29,.20,
6380,2020-06-16 22:00:29,.20,
6380,2020-06-16 10:00:29,.20,
6380,2020-06-15 22:00:29,.20,
6380,2020-06-15 10:00:29,.20,
6380,2020-06-14 22:00:28,.20,
6380,2020-06-14 10:00:29,.20,
6380,2020-06-13 22:00:29,.20,
6380,2020-06-13 10:00:29,.20,
6380,2020-06-12 22:00:28,.20,
6380,2020-06-12 10:00:29,.20,
6380,2020-06-11 22:00:29,.20,
6380,2020-06-11 10:00:29,.20,
6380,2020-06-10 22:00:29,.20,
6380,2020-06-10 10:00:29,.20,
6380,2020-06-09 22:00:29,.20,
6380,2020-06-09 10:00:28,.20,
6380,2020-06-08 22:00:29,.20,
6380,2020-06-08 10:00:30,.20,
6380,2020-06-07 22:00:30,.20,
6380,2020-06-07 10:00:30,.20,
6380,2020-06-06 22:00:29,.20,
6380,2020-06-06 10:00:29,.20,
6380,2020-06-05 22:00:30,.20,
6380,2020-06-05 10:00:30,.20,
6380,2020-06-04 22:00:29,.20,
6380,2020-06-04 10:00:29,.20,
6380,2020-06-03 22:00:30,.20,
6380,2020-06-03 10:00:29,.20,
6380,2020-06-02 22:00:30,.20,
6380,2020-06-02 10:00:30,.20,
6380,2020-06-01 22:00:29,.20,
6380,2020-06-01 10:00:30,.20,
6380,2020-05-31 22:00:29,.20,
6380,2020-05-31 10:00:30,.20,
6380,2020-05-30 22:00:30,.20,
6380,2020-05-30 15:59:28,.20,
6380,2020-05-30 15:50:24,.16,
6380,2020-05-30 10:00:30,.12,
6380,2020-05-29 22:00:30,.12,
6380,2020-05-29 10:00:30,.12,
6380,2020-05-28 22:00:29,.12,
6380,2020-05-28 10:00:30,.12,
6380,2020-05-27 22:00:29,.12,
6380,2020-05-27 10:00:30,.12,
6380,2020-05-26 22:00:30,.12,
6380,2020-05-26 10:00:30,.12,
6380,2020-05-25 22:00:30,.12,
6380,2020-05-25 10:00:30,.12,
6380,2020-05-24 22:00:30,.12,
6380,2020-05-24 10:00:30,.12,
6380,2020-05-23 22:00:30,.12,
6380,2020-05-23 10:00:30,.12,
6380,2020-05-22 22:00:29,.12,
6380,2020-05-22 10:00:31,.12,
6380,2020-05-21 22:00:29,.12,
6380,2020-05-21 10:00:30,.12,
6380,2020-05-20 22:00:30,.12,
6380,2020-05-20 10:00:31,.12,
6380,2020-05-19 22:00:31,.12,
6380,2020-05-19 10:00:31,.12,
6380,2020-05-18 22:00:30,.12,
6380,2020-05-18 10:00:31,.12,
6380,2020-05-17 22:00:31,.12,
6380,2020-05-17 10:00:31,.12,
6380,2020-05-16 22:00:31,.12,
6380,2020-05-16 10:00:31,.12,
6380,2020-05-15 22:00:31,.12,
6380,2020-05-15 10:00:31,.12,
6380,2020-05-14 22:00:31,.12,
6380,2020-05-14 10:00:31,.12,
6380,2020-05-13 22:00:31,.12,
6380,2020-05-13 10:00:31,.12,
6380,2020-05-12 22:00:31,.12,
6380,2020-05-12 10:00:31,.12,
6380,2020-05-11 22:00:31,.12,
6380,2020-05-11 10:00:31,.12,
6380,2020-05-10 22:00:31,.12,
6380,2020-05-10 10:00:32,.12,
6380,2020-05-09 22:00:31,.12,
6380,2020-05-09 16:09:43,.12,
6380,2020-05-09 10:00:32,.08,
6380,2020-05-08 22:00:31,.08,
6380,2020-05-08 10:00:32,.08,
6380,2020-05-07 22:00:32,.08,
6380,2020-05-07 10:00:32,.08,
6380,2020-05-06 22:00:32,.08,
6380,2020-05-06 10:00:32,.08,
6380,2020-05-05 22:00:33,.08,
6380,2020-05-05 10:00:33,.08,
6380,2020-05-04 22:00:32,.08,
6380,2020-05-04 10:00:32,.08,
6380,2020-05-03 22:00:32,.08,
6380,2020-05-03 10:00:32,.08,
6380,2020-05-02 22:00:32,.08,
6380,2020-05-02 10:00:32,.08,
6380,2020-05-01 22:00:33,.08,
6380,2020-05-01 10:00:32,.08,
6380,2020-04-30 22:00:32,.08,
6380,2020-04-30 10:00:33,.08,
6380,2020-04-29 22:00:33,.08,
6380,2020-04-29 10:00:33,.08,
6380,2020-04-28 22:00:33,.08,
6380,2020-04-28 10:00:33,.08,
6380,2020-04-27 22:00:33,.08,
6380,2020-04-27 10:00:33,.08,
6380,2020-04-26 22:00:33,.08,
6380,2020-04-26 10:00:33,.08,
6380,2020-04-25 22:00:33,.08,
6380,2020-04-25 10:00:33,.08,
6380,2020-04-24 22:00:33,.08,
6380,2020-04-24 10:00:33,.08,
6380,2020-04-23 22:00:32,.08,
6380,2020-04-23 10:00:33,.08,
6380,2020-04-22 22:00:33,.08,
6380,2020-04-22 10:00:32,.08,
6380,2020-04-21 22:00:32,.08,
6380,2020-04-21 10:00:32,.08,
6380,2020-04-20 22:00:32,.08,
6380,2020-04-20 10:00:32,.08,
6380,2020-04-19 22:00:32,.08,
6380,2020-04-19 10:00:32,.08,
6380,2020-04-18 22:00:32,.08,
6380,2020-04-18 10:00:32,.08,
6380,2020-04-17 22:00:32,.08,
6380,2020-04-17 10:00:32,.08,
6380,2020-04-16 22:00:32,.08,
6380,2020-04-16 10:00:33,.08,
6380,2020-04-15 22:00:33,.08,
